"","Themes","Tables.Within.Themes","Column.Names","Description.of.Field","Table.Name","total_col"
"624","Theme 10 Education","Table 4","T10_4_ODNDF","Ordinary bachelor degree or national diploma - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"625","Theme 10 Education","Table 4","T10_4_HDPQF","Honours bachelor degree, professional qualification or both - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"626","Theme 10 Education","Table 4","T10_4_PDF","Postgraduate diploma or degree - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"627","Theme 10 Education","Table 4","T10_4_DF","Doctorate(Ph.D) or higher - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"628","Theme 10 Education","Table 4","T10_4_NSF","Not stated - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"629","Theme 10 Education","Table 4","T10_4_TF","Total - Females","Population aged 15 years and over by sex and highest level of education completed ",TRUE
"630","Theme 10 Education","Table 4","T10_4_NFT","No formal education - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"631","Theme 10 Education","Table 4","T10_4_PT","Primary education - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"632","Theme 10 Education","Table 4","T10_4_LST","Lower secondary - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"633","Theme 10 Education","Table 4","T10_4_UST","Upper secondary - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"634","Theme 10 Education","Table 4","T10_4_TVT","Technical or vocational qualification - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"635","Theme 10 Education","Table 4","T10_4_ACCAT","Advanced certificate/Completed apprenticeship - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"636","Theme 10 Education","Table 4","T10_4_HCT","Higher certificate - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"637","Theme 10 Education","Table 4","T10_4_ODNDT","Ordinary bachelor degree or national diploma - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"638","Theme 10 Education","Table 4","T10_4_HDPQT","Honours bachelor degree, professional qualification or both - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"639","Theme 10 Education","Table 4","T10_4_PDT","Postgraduate diploma or degree - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"640","Theme 10 Education","Table 4","T10_4_DT","Doctorate(Ph.D) or higher - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"641","Theme 10 Education","Table 4","T10_4_NST","Not stated - Total","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"642","Theme 10 Education","Table 4","T10_4_TT","Total","Population aged 15 years and over by sex and highest level of education completed ",TRUE
"643","Theme 11 Commuting","Table 1","T11_1_FW","On foot - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"644","Theme 11 Commuting","Table 1","T11_1_BIW","Bicycle - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"645","Theme 11 Commuting","Table 1","T11_1_BUW","Bus, minibus or coach - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"646","Theme 11 Commuting","Table 1","T11_1_TDLW","Train, DART or LUAS - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"647","Theme 11 Commuting","Table 1","T11_1_MW","Motorcycle or scooter - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"648","Theme 11 Commuting","Table 1","T11_1_CDW","Car driver - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"649","Theme 11 Commuting","Table 1","T11_1_CPW","Car passenger - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"650","Theme 11 Commuting","Table 1","T11_1_VW","Van - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"651","Theme 11 Commuting","Table 1","T11_1_OTHW","Other (incl. lorry) - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"652","Theme 11 Commuting","Table 1","T11_1_WMFHW","Work mainly at or from home - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"653","Theme 11 Commuting","Table 1","T11_1_NSW","Not stated - Work","Population aged 5 years and over by means of travel to work, school or college",FALSE
"654","Theme 11 Commuting","Table 1","T11_1_TW","Total - Work","Population aged 5 years and over by means of travel to work, school or college",TRUE
"655","Theme 11 Commuting","Table 1","T11_1_FS","On foot - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"656","Theme 11 Commuting","Table 1","T11_1_BIS","Bicycle - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"657","Theme 11 Commuting","Table 1","T11_1_BUS","Bus, minibus or coach - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"658","Theme 11 Commuting","Table 1","T11_1_TDLS","Train, DART or LUAS - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"659","Theme 11 Commuting","Table 1","T11_1_MS","Motorcycle or scooter - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"660","Theme 11 Commuting","Table 1","T11_1_CDS","Car driver - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"661","Theme 11 Commuting","Table 1","T11_1_CPS","Car passenger - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"662","Theme 11 Commuting","Table 1","T11_1_VS","Van - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"663","Theme 11 Commuting","Table 1","T11_1_OTHS","Other (incl. lorry) - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"664","Theme 11 Commuting","Table 1","T11_1_WMFHS","Work mainly at or from home - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"665","Theme 11 Commuting","Table 1","T11_1_NSS","Not stated - School or college","Population aged 5 years and over by means of travel to work, school or college",FALSE
"666","Theme 11 Commuting","Table 1","T11_1_TS","Total - School or college","Population aged 5 years and over by means of travel to work, school or college",TRUE
"667","Theme 11 Commuting","Table 1","T11_1_FT","On foot - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"668","Theme 11 Commuting","Table 1","T11_1_BIT","Bicycle - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"669","Theme 11 Commuting","Table 1","T11_1_BUT","Bus, minibus or coach - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"670","Theme 11 Commuting","Table 1","T11_1_TDLT","Train, DART or LUAS - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"671","Theme 11 Commuting","Table 1","T11_1_MT","Motorcycle or scooter - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"672","Theme 11 Commuting","Table 1","T11_1_CDT","Car driver - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"673","Theme 11 Commuting","Table 1","T11_1_CPT","Car passenger - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"674","Theme 11 Commuting","Table 1","T11_1_VT","Van - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"675","Theme 11 Commuting","Table 1","T11_1_OTHT","Other (incl. lorry) - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"676","Theme 11 Commuting","Table 1","T11_1_WMFHT","Work mainly at or from home - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"677","Theme 11 Commuting","Table 1","T11_1_NST","Not stated - Total","Population aged 5 years and over by means of travel to work, school or college",FALSE
"678","Theme 11 Commuting","Table 1","T11_1_TT","Total","Population aged 5 years and over by means of travel to work, school or college",TRUE
"679","Theme 11 Commuting","Table 2","T11_2_T1","Before 06:30","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"680","Theme 11 Commuting","Table 2","T11_2_T2","06:30 - 07:00","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"681","Theme 11 Commuting","Table 2","T11_2_T3","07:01 - 07:30","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"682","Theme 11 Commuting","Table 2","T11_2_T4","07:31 - 08:00","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"683","Theme 11 Commuting","Table 2","T11_2_T5","08:01 - 08:30","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"684","Theme 11 Commuting","Table 2","T11_2_T6","08:31 - 09:00","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"685","Theme 11 Commuting","Table 2","T11_2_T7","09:01 - 09:30","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"686","Theme 11 Commuting","Table 2","T11_2_T8","After 09:30","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"687","Theme 11 Commuting","Table 2","T11_2_NS","Not stated","Population aged 5 years and over by time leaving home to travel to work, school or college ",FALSE
"688","Theme 11 Commuting","Table 2","T11_2_T","Total","Population aged 5 years and over by time leaving home to travel to work, school or college ",TRUE
"689","Theme 11 Commuting","Table 3","T11_3_D1","Under 15 mins","Population aged 5 years and over by journey time to work, school or college ",FALSE
"690","Theme 11 Commuting","Table 3","T11_3_D2","1/4 hour - under 1/2 hour","Population aged 5 years and over by journey time to work, school or college ",FALSE
"691","Theme 11 Commuting","Table 3","T11_3_D3","1/2 hour - under 3/4 hour","Population aged 5 years and over by journey time to work, school or college ",FALSE
"692","Theme 11 Commuting","Table 3","T11_3_D4","3/4 hour - under 1 hour","Population aged 5 years and over by journey time to work, school or college ",FALSE
"693","Theme 11 Commuting","Table 3","T11_3_D5","1 hour - under 1 1/2 hours","Population aged 5 years and over by journey time to work, school or college ",FALSE
"694","Theme 11 Commuting","Table 3","T11_3_D6","1 1/2 hours and over","Population aged 5 years and over by journey time to work, school or college ",FALSE
"695","Theme 11 Commuting","Table 3","T11_3_NS","Not stated","Population aged 5 years and over by journey time to work, school or college ",FALSE
"696","Theme 11 Commuting","Table 3","T11_3_T","Total","Population aged 5 years and over by journey time to work, school or college ",TRUE
"697","Theme 12 Disability, Carers and General Health","Table 1","T12_1_M","Males","Persons with disability by sex",FALSE
"698","Theme 12 Disability, Carers and General Health","Table 1","T12_1_F","Females","Persons with disability by sex",FALSE
"699","Theme 12 Disability, Carers and General Health","Table 1","T12_1_T","Total","Persons with disability by sex",TRUE
"700","Theme 12 Disability, Carers and General Health","Table 2","T12_2_M","Males","Carers by sex",FALSE
"701","Theme 12 Disability, Carers and General Health","Table 2","T12_2_F","Females","Carers by sex",FALSE
"702","Theme 12 Disability, Carers and General Health","Table 2","T12_2_T","Total","Carers by sex",TRUE
"703","Theme 12 Disability, Carers and General Health","Table 3","T12_3_VGM","Very good - Males","Population by general health and sex",FALSE
"704","Theme 12 Disability, Carers and General Health","Table 3","T12_3_VGF","Very good - Females","Population by general health and sex",FALSE
"705","Theme 12 Disability, Carers and General Health","Table 3","T12_3_VGT","Very good - Total","Population by general health and sex",FALSE
"706","Theme 12 Disability, Carers and General Health","Table 3","T12_3_GM","Good - Males","Population by general health and sex",FALSE
"707","Theme 12 Disability, Carers and General Health","Table 3","T12_3_GF","Good - Females","Population by general health and sex",FALSE
"708","Theme 12 Disability, Carers and General Health","Table 3","T12_3_GT","Good - Total","Population by general health and sex",FALSE
"709","Theme 12 Disability, Carers and General Health","Table 3","T12_3_FM","Fair - Males","Population by general health and sex",FALSE
"710","Theme 12 Disability, Carers and General Health","Table 3","T12_3_FF","Fair - Females","Population by general health and sex",FALSE
"711","Theme 12 Disability, Carers and General Health","Table 3","T12_3_FT","Fair - Total","Population by general health and sex",FALSE
"712","Theme 12 Disability, Carers and General Health","Table 3","T12_3_BM","Bad - Males","Population by general health and sex",FALSE
"713","Theme 12 Disability, Carers and General Health","Table 3","T12_3_BF","Bad - Females","Population by general health and sex",FALSE
"714","Theme 12 Disability, Carers and General Health","Table 3","T12_3_BT","Bad - Total","Population by general health and sex",FALSE
"715","Theme 12 Disability, Carers and General Health","Table 3","T12_3_VBM","Very bad - Males","Population by general health and sex",FALSE
"716","Theme 12 Disability, Carers and General Health","Table 3","T12_3_VBF","Very bad - Females","Population by general health and sex",FALSE
"717","Theme 12 Disability, Carers and General Health","Table 3","T12_3_VBT","Very bad - Total","Population by general health and sex",FALSE
"718","Theme 12 Disability, Carers and General Health","Table 3","T12_3_NSM","Not stated - Males","Population by general health and sex",FALSE
"719","Theme 12 Disability, Carers and General Health","Table 3","T12_3_NSF","Not stated - Females","Population by general health and sex",FALSE
"720","Theme 12 Disability, Carers and General Health","Table 3","T12_3_NST","Not stated - Total","Population by general health and sex",FALSE
"721","Theme 12 Disability, Carers and General Health","Table 3","T12_3_TM","Total - Males","Population by general health and sex",TRUE
"722","Theme 12 Disability, Carers and General Health","Table 3","T12_3_TF","Total - Females","Population by general health and sex",TRUE
"723","Theme 12 Disability, Carers and General Health","Table 3","T12_3_TT","Total","Population by general health and sex",TRUE
"724","Theme 13 Occupations","Table 1","T13_1_MDSOM","Managers, directors and senior officials - Males","Persons at work or unemployed by occupation and sex",FALSE
"725","Theme 13 Occupations","Table 1","T13_1_POM","Professional occupations - Males","Persons at work or unemployed by occupation and sex",FALSE
"726","Theme 13 Occupations","Table 1","T13_1_APTOM","Associate professional and technical occupations - Males","Persons at work or unemployed by occupation and sex",FALSE
"727","Theme 13 Occupations","Table 1","T13_1_ASOM","Administrative and secretarial occupations - Males","Persons at work or unemployed by occupation and sex",FALSE
"728","Theme 13 Occupations","Table 1","T13_1_STOM","Skilled trades occupations - Males","Persons at work or unemployed by occupation and sex",FALSE
"729","Theme 13 Occupations","Table 1","T13_1_CLOSOM","Caring, leisure and other service occupations - Males","Persons at work or unemployed by occupation and sex",FALSE
"730","Theme 13 Occupations","Table 1","T13_1_SCSOM","Sales and customer service occupations - Males","Persons at work or unemployed by occupation and sex",FALSE
"731","Theme 13 Occupations","Table 1","T13_1_PPMOM","Process, plant and machine operatives - Males","Persons at work or unemployed by occupation and sex",FALSE
"732","Theme 13 Occupations","Table 1","T13_1_EOM","Elementary occupations - Males","Persons at work or unemployed by occupation and sex",FALSE
"733","Theme 13 Occupations","Table 1","T13_1_NSM","Not stated - Males","Persons at work or unemployed by occupation and sex",FALSE
"734","Theme 13 Occupations","Table 1","T13_1_TM","Total - Males","Persons at work or unemployed by occupation and sex",TRUE
"735","Theme 13 Occupations","Table 1","T13_1_MDSOF","Managers, directors and senior officials - Females","Persons at work or unemployed by occupation and sex",FALSE
"736","Theme 13 Occupations","Table 1","T13_1_POF","Professional occupations - Females","Persons at work or unemployed by occupation and sex",FALSE
"737","Theme 13 Occupations","Table 1","T13_1_APTOF","Associate professional and technical occupations - Females","Persons at work or unemployed by occupation and sex",FALSE
"738","Theme 13 Occupations","Table 1","T13_1_ASOF","Administrative and secretarial occupations - Females","Persons at work or unemployed by occupation and sex",FALSE
"739","Theme 13 Occupations","Table 1","T13_1_STOF","Skilled trades occupations - Females","Persons at work or unemployed by occupation and sex",FALSE
"740","Theme 13 Occupations","Table 1","T13_1_CLOSOF","Caring, leisure and other service occupations - Females","Persons at work or unemployed by occupation and sex",FALSE
"741","Theme 13 Occupations","Table 1","T13_1_SCSOF","Sales and customer service occupations - Females","Persons at work or unemployed by occupation and sex",FALSE
"742","Theme 13 Occupations","Table 1","T13_1_PPMOF","Process, plant and machine operatives - Females","Persons at work or unemployed by occupation and sex",FALSE
"743","Theme 13 Occupations","Table 1","T13_1_EOF","Elementary occupations - Females","Persons at work or unemployed by occupation and sex",FALSE
"744","Theme 13 Occupations","Table 1","T13_1_NSF","Not stated - Females","Persons at work or unemployed by occupation and sex",FALSE
"745","Theme 13 Occupations","Table 1","T13_1_TF","Total - Females","Persons at work or unemployed by occupation and sex",TRUE
"746","Theme 13 Occupations","Table 1","T13_1_MDSOT","Managers, directors and senior officials - Total","Persons at work or unemployed by occupation and sex",FALSE
"747","Theme 13 Occupations","Table 1","T13_1_POT","Professional occupations - Total","Persons at work or unemployed by occupation and sex",FALSE
"748","Theme 13 Occupations","Table 1","T13_1_APTOT","Associate professional and technical occupations - Total","Persons at work or unemployed by occupation and sex",FALSE
"749","Theme 13 Occupations","Table 1","T13_1_ASOT","Administrative and secretarial occupations - Total","Persons at work or unemployed by occupation and sex",FALSE
"750","Theme 13 Occupations","Table 1","T13_1_STOT","Skilled trades occupations - Total","Persons at work or unemployed by occupation and sex",FALSE
"751","Theme 13 Occupations","Table 1","T13_1_CLOSOT","Caring, leisure and other service occupations - Total","Persons at work or unemployed by occupation and sex",FALSE
"752","Theme 13 Occupations","Table 1","T13_1_SCSOT","Sales and customer service occupations - Total","Persons at work or unemployed by occupation and sex",FALSE
"753","Theme 13 Occupations","Table 1","T13_1_PPMOT","Process, plant and machine operatives - Total","Persons at work or unemployed by occupation and sex",FALSE
"754","Theme 13 Occupations","Table 1","T13_1_EOT","Elementary occupations - Total","Persons at work or unemployed by occupation and sex",FALSE
"755","Theme 13 Occupations","Table 1","T13_1_NST","Not stated - Total","Persons at work or unemployed by occupation and sex",FALSE
"756","Theme 13 Occupations","Table 1","T13_1_TT","Total","Persons at work or unemployed by occupation and sex",TRUE
"757","Theme 14 Industries","Table 1","T14_1_AFFM","Agriculture, forestry and fishing - Males","Persons at work by industry and sex",FALSE
"758","Theme 14 Industries","Table 1","T14_1_BCM","Building and construction - Males","Persons at work by industry and sex",FALSE
"759","Theme 14 Industries","Table 1","T14_1_MIM","Manufacturing industries - Males","Persons at work by industry and sex",FALSE
"760","Theme 14 Industries","Table 1","T14_1_CTM","Commerce and trade - Males","Persons at work by industry and sex",FALSE
"761","Theme 14 Industries","Table 1","T14_1_TCM","Transport and communications - Males","Persons at work by industry and sex",FALSE
"762","Theme 14 Industries","Table 1","T14_1_PAM","Public administration - Males","Persons at work by industry and sex",FALSE
"763","Theme 14 Industries","Table 1","T14_1_PSM","Professional services - Males","Persons at work by industry and sex",FALSE
"764","Theme 14 Industries","Table 1","T14_1_OTHM","Other - Males","Persons at work by industry and sex",FALSE
"765","Theme 14 Industries","Table 1","T14_1_TM","Total - Males","Persons at work by industry and sex",TRUE
"766","Theme 14 Industries","Table 1","T14_1_AFFF","Agriculture, forestry and fishing - Females","Persons at work by industry and sex",FALSE
"767","Theme 14 Industries","Table 1","T14_1_BCF","Building and construction - Females","Persons at work by industry and sex",FALSE
"768","Theme 14 Industries","Table 1","T14_1_MIF","Manufacturing industries - Females","Persons at work by industry and sex",FALSE
"769","Theme 14 Industries","Table 1","T14_1_CTF","Commerce and trade - Females","Persons at work by industry and sex",FALSE
"770","Theme 14 Industries","Table 1","T14_1_TCF","Transport and communications - Females","Persons at work by industry and sex",FALSE
"771","Theme 14 Industries","Table 1","T14_1_PAF","Public administration - Females","Persons at work by industry and sex",FALSE
"772","Theme 14 Industries","Table 1","T14_1_PSF","Professional services - Females","Persons at work by industry and sex",FALSE
"773","Theme 14 Industries","Table 1","T14_1_OTHF","Other - Females","Persons at work by industry and sex",FALSE
"774","Theme 14 Industries","Table 1","T14_1_TF","Total - Females","Persons at work by industry and sex",TRUE
"775","Theme 14 Industries","Table 1","T14_1_AFFT","Agriculture, forestry and fishing - Total","Persons at work by industry and sex",FALSE
"776","Theme 14 Industries","Table 1","T14_1_BCT","Building and construction - Total","Persons at work by industry and sex",FALSE
"777","Theme 14 Industries","Table 1","T14_1_MIT","Manufacturing industries - Total","Persons at work by industry and sex",FALSE
"778","Theme 14 Industries","Table 1","T14_1_CTT","Commerce and trade - Total","Persons at work by industry and sex",FALSE
"779","Theme 14 Industries","Table 1","T14_1_TCT","Transport and communications - Total","Persons at work by industry and sex",FALSE
"780","Theme 14 Industries","Table 1","T14_1_PAT","Public administration - Total","Persons at work by industry and sex",FALSE
"781","Theme 14 Industries","Table 1","T14_1_PST","Professional services - Total","Persons at work by industry and sex",FALSE
"782","Theme 14 Industries","Table 1","T14_1_OTHT","Other - Total","Persons at work by industry and sex",FALSE
"783","Theme 14 Industries","Table 1","T14_1_TT","Total","Persons at work by industry and sex",TRUE
"784","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 1","T15_1_NC","No motor car","Number of households with cars",FALSE
"785","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 1","T15_1_1C","1 motor car","Number of households with cars",FALSE
"786","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 1","T15_1_2C","2 motor cars","Number of households with cars",FALSE
"787","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 1","T15_1_3C","3 motor cars","Number of households with cars",FALSE
"788","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 1","T15_1_GE4C","4 or more motor cars","Number of households with cars",FALSE
"789","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 1","T15_1_NSC","Not stated","Number of households with cars",FALSE
"790","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 1","T15_1_TC","Total","Number of households with cars",TRUE
"791","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 2","T15_2_Y","Yes","Number of households with a personal computer",FALSE
"792","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 2","T15_2_N","No","Number of households with a personal computer",FALSE
"793","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 2","T15_2_NS","Not stated","Number of households with a personal computer",FALSE
"794","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 2","T15_2_T","Total","Number of households with a personal computer",TRUE
"795","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 3","T15_3_B","Broadband","Number of households with internet",FALSE
"796","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 3","T15_3_OTH","Other","Number of households with internet",FALSE
"797","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 3","T15_3_N","No","Number of households with internet",FALSE
"798","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 3","T15_3_NS","Not stated","Number of households with internet",FALSE
"799","Theme 15 Motor Car Availability, PC Ownership and Internet Access","Table 3","T15_3_T","Total","Number of households with internet",TRUE
